# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = Static_Perception_Model_stan_model
# start_datetime = 2026-09-06 03:27:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = output/12_execute_output/static_perception/stan/simulation_data/Static_Perception_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/GeneralizedNotationNotation/output/11_render_output/static_perception/stan/output/12_execute_output/static_perception/stan/simulation_data/cmdstan/Static_Perception_Model_stan-20260905202743.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=Static_Perception_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,log_marginal
-26.018296,0.71723672,0.90987441,2,7,0,26.925158,0.79470681,0.022634908,0.20529319,0.97736509,0.17358623,0.90120303,0.032776015,0.9975462,0.01143798,0.82641377,0.098796971,0.96722399,0.0024537976,0.98856202,-2.7442227
-23.988158,1,0.90987441,2,7,0,26.600172,0.66176117,0.080473857,0.33823883,0.91952614,0.26892054,0.77231332,0.11178281,0.97889346,0.026536917,0.73107946,0.22768668,0.88821719,0.021106541,0.97346308,-2.7920607
-24.007193,0.9965076,0.90987441,3,7,0,24.427603,0.86171104,0.22644172,0.13828896,0.77355828,0.15165803,0.46591955,0.16814776,0.93787198,0.020738289,0.84834197,0.53408045,0.83185224,0.062128022,0.97926171,-3.336254
-25.760575,0.87057746,0.90987441,2,3,0,26.655466,0.93450536,0.14464647,0.065494644,0.85535353,0.071124259,0.45396162,0.082911717,0.97843977,0.0056782148,0.92887574,0.54603838,0.91708828,0.021560232,0.99432179,-3.4759127
-25.819106,0.99894902,0.90987441,1,1,0,25.965933,0.93557237,0.14194185,0.064427632,0.85805815,0.069841328,0.45607808,0.080862937,0.97920719,0.0055095363,0.93015867,0.54392192,0.91913706,0.020792813,0.99449046,-3.4765638
-24.056126,0.99138282,0.90987441,2,3,0,26.502087,0.8931581,0.12588405,0.1068419,0.87411595,0.1089159,0.55211524,0.091951966,0.9788803,0.0089785721,0.8910841,0.44788476,0.90804803,0.021119699,0.99102143,-3.2144207
-23.128277,0.97278995,0.90987441,2,5,0,24.750598,0.71666691,0.10425895,0.28333309,0.89574105,0.24030134,0.71384032,0.12317989,0.97286874,0.024801158,0.75969866,0.28615968,0.87682011,0.027131263,0.97519884,-2.8372071
-23.063129,0.92102219,0.90987441,2,3,0,24.166628,0.71462022,0.15517373,0.28537978,0.84482627,0.25250244,0.63854927,0.16870518,0.94794881,0.03495611,0.74749756,0.36145073,0.83129482,0.052051192,0.96504389,-2.9382625
-23.345561,0.86436789,0.90987441,2,3,0,24.231364,0.74467725,0.075684499,0.25532275,0.9243155,0.21644156,0.76130045,0.090500359,0.98485126,0.018426161,0.78355844,0.23869955,0.90949964,0.015148739,0.98157384,-2.7951577
-23.429442,0.98055834,0.90987441,2,3,0,23.795477,0.78909442,0.22815569,0.21090558,0.77184431,0.21460758,0.52631415,0.19906088,0.92084965,0.036328213,0.78539242,0.47368585,0.80093912,0.079150348,0.96367179,-3.1694057
-22.946041,1,0.90987441,2,7,0,23.523772,0.72932918,0.12202341,0.27067082,0.87797659,0.23564308,0.67977115,0.13610603,0.96629934,0.026222111,0.76435692,0.32022885,0.86389397,0.033700661,0.97377789,-2.8779277
-24.487316,0.84741154,0.90987441,3,7,0,24.743795,0.6791158,0.26351096,0.3208842,0.73648904,0.30347297,0.55162843,0.26557039,0.86376007,0.08332427,0.69652703,0.44837157,0.73442961,0.13623993,0.91667573,-3.1505909
-23.974916,1,0.90987441,1,1,0,24.495177,0.67942133,0.22652417,0.32057867,0.77347583,0.29301892,0.57824941,0.23787779,0.89313846,0.06625544,0.70698108,0.42175059,0.76212221,0.10686154,0.93374456,-3.074357
-22.830392,1,0.90987441,2,3,0,23.96969,0.74820448,0.13640288,0.25179552,0.86359712,0.22574608,0.6502856,0.14340089,0.96175648,0.026179428,0.77425392,0.3497144,0.85659911,0.038243524,0.97382057,-2.9196621
-22.861886,0.99534654,0.90987441,3,7,0,22.906146,0.75275757,0.11457297,0.24724243,0.88542703,0.21828295,0.682421,0.12371903,0.97155071,0.022328129,0.78171705,0.317579,0.87628097,0.028449294,0.97767187,-2.8786991
-22.859464,0.99910777,0.90987441,3,7,0,22.956079,0.81390554,0.13043072,0.18609446,0.86956928,0.17628195,0.62197574,0.12045553,0.9707193,0.01738326,0.82371805,0.37802426,0.87954447,0.029280702,0.98261674,-2.9934809
-23.236484,0.93051713,0.90987441,2,3,0,23.390036,0.78587872,0.21209536,0.21412128,0.78790464,0.21368837,0.54233886,0.18914881,0.92917402,0.033702617,0.78631163,0.45766114,0.81085119,0.070825978,0.96629738,-3.1272172
-23.197604,0.96949904,0.90987441,2,3,0,23.603248,0.81155295,0.083592534,0.18844705,0.91640747,0.17056277,0.71268787,0.084061075,0.98541301,0.013666845,0.82943723,0.28731213,0.91593892,0.014586992,0.98633315,-2.891216
-23.440651,0.98307796,0.90987441,2,3,0,23.596151,0.72464638,0.2145309,0.27535362,0.7854691,0.2595661,0.57214371,0.21258439,0.91393477,0.048714267,0.7404339,0.42785629,0.78741561,0.086065226,0.95128573,-3.0676327
-24.248002,0.92880298,0.90987441,2,3,0,25.028027,0.61699288,0.14974193,0.38300712,0.85025807,0.31056347,0.66941249,0.19350318,0.93447612,0.05221408,0.68943653,0.33058751,0.80649682,0.06552388,0.94778592,-2.9422264
-25.342521,0.83653093,0.90987441,1,1,0,25.387805,0.56977055,0.18998041,0.43022945,0.81001959,0.34688957,0.63006302,0.2479056,0.88866611,0.085820493,0.65311043,0.36993698,0.7520944,0.11133389,0.91417951,-3.0497742
-23.274659,0.98940906,0.90987441,3,7,0,25.610726,0.69605638,0.16704397,0.30394362,0.83295603,0.26734428,0.63059019,0.1843392,0.93801442,0.041381678,0.73265572,0.36940981,0.8156608,0.061985577,0.95861832,-2.9567684
-24.644732,0.83485269,0.90987441,2,3,0,25.104845,0.59860267,0.10864866,0.40139733,0.89135134,0.31049912,0.73023229,0.15714124,0.95879993,0.04118567,0.68950088,0.26976771,0.84285876,0.041200074,0.95881433,-2.8835986
-23.319639,0.98606809,0.90987441,2,3,0,25.273464,0.84038066,0.090734579,0.15961934,0.90926542,0.1493326,0.67679799,0.083232786,0.9848226,0.011794316,0.8506674,0.32320201,0.91676721,0.015177398,0.98820568,-2.9668344
-23.262432,1,0.90987441,2,3,0,23.543974,0.85420477,0.14816969,0.14579523,0.85183031,0.14614224,0.56113843,0.12066184,0.96833994,0.014369544,0.85385776,0.43886157,0.87933816,0.031660063,0.98563046,-3.1279269
-22.837348,0.98166345,0.90987441,3,7,0,23.863116,0.74653188,0.13412403,0.25346812,0.86587597,0.22644343,0.65435131,0.14195252,0.96261162,0.026026558,0.77355657,0.34564869,0.85804748,0.037388382,0.97397344,-2.9136525
-23.348523,0.95908821,0.90987441,2,3,0,23.377053,0.68072508,0.14122185,0.31927492,0.85877815,0.27101913,0.66738738,0.16640131,0.95076275,0.037272067,0.72898087,0.33261262,0.83359869,0.049237249,0.96272793,-2.9042537
-23.353669,0.94721281,0.90987441,2,5,0,24.069846,0.83874311,0.086947402,0.16125689,0.9130526,0.15010283,0.68662388,0.08070739,0.98571696,0.011706832,0.84989717,0.31337612,0.91929261,0.014283041,0.98829317,-2.954988
-23.701385,0.98545221,0.90987441,2,3,0,23.727877,0.83893337,0.068874022,0.16106663,0.93112598,0.1474709,0.73142234,0.066507264,0.98996966,0.010734601,0.8525291,0.26857766,0.93349274,0.010030342,0.9892654,-2.9183783
-24.138538,0.96269879,0.90987441,3,7,0,24.833795,0.82897823,0.052098283,0.17102177,0.94790172,0.15284492,0.78602366,0.054626892,0.99312939,0.01062601,0.84715508,0.21397634,0.94537311,0.0068706117,0.98937399,-2.8621363
-24.730662,0.9387062,0.90987441,2,3,0,25.710144,0.91305295,0.14730202,0.086947046,0.85269798,0.0925318,0.48801058,0.096220972,0.97511134,0.0078957497,0.9074682,0.51198942,0.90377903,0.024888656,0.99210425,-3.3566117
-25.211277,0.83966039,0.90987441,2,7,0,28.51358,0.601403,0.23583779,0.398597,0.76416221,0.3428027,0.58766914,0.27506038,0.85755046,0.10161675,0.6571973,0.41233086,0.72493962,0.14244954,0.89838325,-3.1050267
-23.25139,1,0.90987441,3,7,0,25.237863,0.69349607,0.11718288,0.30650393,0.88281712,0.25771336,0.69913054,0.14087209,0.96498357,0.029891641,0.74228664,0.30086946,0.85912791,0.035016428,0.97010836,-2.8577463
-23.10167,1,0.90987441,1,1,0,23.239054,0.70827226,0.12123202,0.29172774,0.87876798,0.24923435,0.688317,0.1408125,0.96455808,0.028761413,0.75076565,0.311683,0.8591875,0.035441918,0.97123859,-2.868158
-23.439814,0.92130462,0.90987441,2,3,0,23.879374,0.72999238,0.21740941,0.27000762,0.78259059,0.25651537,0.56735583,0.21284865,0.91336067,0.048193433,0.74348463,0.43264417,0.78715135,0.086639333,0.95180657,-3.077529
-24.396298,0.75668171,0.90987441,1,1,0,24.439152,0.71670678,0.27891051,0.28329322,0.72108949,0.28205704,0.52865635,0.26162584,0.86544804,0.075010454,0.71794296,0.47134365,0.73837416,0.13455196,0.92498955,-3.2035745
-24.070091,1,0.90987441,3,7,0,25.455287,0.62939921,0.11770684,0.37060079,0.88229316,0.29579581,0.71204833,0.158229,0.95734502,0.039133419,0.70420419,0.28795167,0.841771,0.042654984,0.96086658,-2.8761735
-24.336626,0.9853482,0.90987441,2,3,0,24.503974,0.62392315,0.094385514,0.37607685,0.90561449,0.29342232,0.75166773,0.1351978,0.9695994,0.033647759,0.70657768,0.24833227,0.8648022,0.030400597,0.96635224,-2.8373842
-23.135974,0.96729117,0.90987441,3,7,0,25.188226,0.82741908,0.18145718,0.17258092,0.81854282,0.17412651,0.54300427,0.15293231,0.95178716,0.021257284,0.82587349,0.45699573,0.84706769,0.048212843,0.97874272,-3.1347613
-23.649843,0.94194072,0.90987441,2,3,0,24.202185,0.87697003,0.13801671,0.12302997,0.86198329,0.12490184,0.55198781,0.1057873,0.97396122,0.011185451,0.87509816,0.44801219,0.8942127,0.026038781,0.98881455,-3.1786599
-25.455537,0.7891049,0.90987441,2,3,0,26.42318,0.89675421,0.27078656,0.10324579,0.72921344,0.12402504,0.38965707,0.17475883,0.92681968,0.018216115,0.87597496,0.61034293,0.82524117,0.073180318,0.98178389,-3.5895815
-23.840374,0.98611301,0.90987441,3,7,0,25.928167,0.78140362,0.054899584,0.21859638,0.94510042,0.18784651,0.79970382,0.064714242,0.99154413,0.013942375,0.81215349,0.20029618,0.93528576,0.0084558674,0.98605762,-2.7888611
-23.237131,0.96199093,0.90987441,3,7,0,24.702193,0.78327094,0.077090614,0.21672906,0.92290939,0.19017352,0.74260563,0.084312082,0.98602453,0.015434363,0.80982648,0.25739437,0.91568792,0.013975467,0.98456564,-2.8349909
-23.861857,0.93290711,0.90987441,2,5,0,24.410634,0.69949815,0.066956135,0.30050185,0.93304386,0.2436082,0.79378299,0.09029978,0.98574238,0.021136336,0.7563918,0.20621701,0.90970022,0.014257624,0.97886366,-2.7617342
-23.117813,0.98967164,0.90987441,3,7,0,23.855611,0.79159219,0.19971908,0.20840781,0.80028092,0.20661261,0.55036084,0.17839433,0.93695098,0.030180775,0.79338739,0.44963916,0.82160567,0.063049021,0.96981922,-3.1078636
-24.927577,0.75179921,0.90987441,2,3,0,25.152689,0.86070814,0.043220788,0.13929186,0.95677921,0.12708287,0.79663615,0.042358845,0.99517067,0.008297251,0.87291713,0.20336385,0.95764116,0.0048293328,0.99170275,-2.9250085
-23.161768,0.99068809,0.90987441,3,7,0,24.935332,0.70590547,0.11214468,0.29409453,0.88785532,0.24882149,0.70369687,0.13307815,0.96853617,0.027375808,0.75117851,0.29630313,0.86692185,0.031463827,0.97262419,-2.8497189
-22.8982,0.98715601,0.90987441,3,7,0,23.464181,0.79818727,0.16946791,0.20181273,0.83053209,0.19548966,0.57891079,0.15436876,0.95287343,0.024144987,0.80451034,0.42108921,0.84563124,0.047126569,0.97585501,-3.0507071
-22.907593,0.9621572,0.90987441,2,3,0,23.264034,0.81095257,0.11101764,0.18904743,0.88898236,0.17536383,0.65711172,0.10625985,0.97719674,0.015878808,0.82463617,0.34288828,0.89374015,0.022803257,0.98412119,-2.9468212
-22.904226,0.99240156,0.90987441,2,3,0,23.041195,0.75910293,0.17061903,0.24089707,0.82938097,0.22507896,0.60055008,0.1676573,0.94651753,0.030636743,0.77492104,0.39944992,0.8323427,0.053482471,0.96936326,-3.0015188
-22.904226,0.82297877,0.90987441,1,3,0,23.963417,0.75910293,0.17061903,0.24089707,0.82938097,0.22507896,0.60055008,0.1676573,0.94651753,0.030636743,0.77492104,0.39944992,0.8323427,0.053482471,0.96936326,-3.0015188
-23.357064,0.78777703,0.90987441,1,3,0,24.623822,0.81299231,0.075230603,0.18700769,0.9247694,0.1682061,0.73155103,0.076845417,0.98763647,0.0129949,0.8317939,0.26844897,0.92315458,0.012363525,0.9870051,-2.8768509
-23.008612,0.99865135,0.90987441,2,7,0,23.42823,0.83313375,0.14523822,0.16686625,0.85476178,0.16333367,0.58459609,0.12558599,0.96715922,0.016593434,0.83666633,0.41540391,0.87441401,0.032840782,0.98340657,-3.0664011
-23.008612,0.61483945,0.90987441,1,3,0,26.600982,0.83313375,0.14523822,0.16686625,0.85476178,0.16333367,0.58459609,0.12558599,0.96715922,0.016593434,0.83666633,0.41540391,0.87441401,0.032840782,0.98340657,-3.0664011
-24.333504,0.82158574,0.90987441,2,3,0,24.405427,0.85018816,0.052886754,0.14981184,0.94711325,0.13657436,0.77068991,0.051714725,0.99339658,0.0092862549,0.86342564,0.22931009,0.94828528,0.0066034223,0.99071375,-2.9146444
-23.673408,0.9812139,0.90987441,2,7,0,24.576103,0.8498236,0.2132867,0.1501764,0.7867133,0.16029251,0.48996352,0.16521618,0.94141277,0.021387646,0.83970749,0.51003648,0.83478382,0.058587229,0.97861235,-3.2674015
-24.252048,0.98488964,0.90987441,2,7,0,24.82071,0.89455779,0.1775665,0.10544221,0.8224335,0.11363829,0.47504873,0.12301112,0.96338302,0.011464614,0.88636171,0.52495127,0.87698888,0.036616977,0.98853539,-3.3403656
-23.851986,0.90604318,0.90987441,3,7,0,25.191281,0.75422814,0.055795418,0.24577186,0.94420458,0.20653507,0.80668467,0.069879695,0.99067365,0.015885773,0.79346493,0.19331533,0.93012031,0.009326354,0.98411423,-2.7634757
-23.28973,0.99118554,0.90987441,2,3,0,24.031766,0.81780894,0.20632729,0.18219106,0.79367271,0.18669723,0.52497088,0.17342133,0.93853708,0.026310771,0.81330277,0.47502912,0.82657867,0.061462924,0.97368923,-3.1714036
-23.48977,0.98148404,0.90987441,2,7,0,23.905272,0.86905718,0.1337225,0.13094282,0.8662775,0.13130781,0.56783899,0.10575168,0.9745333,0.011749553,0.86869219,0.43216101,0.89424832,0.025466705,0.98825045,-3.1416686
-25.047772,0.82067771,0.90987441,2,7,0,25.599031,0.82166409,0.034273269,0.17833591,0.96572673,0.1558795,0.84926514,0.040400887,0.9960727,0.010337163,0.8441205,0.15073486,0.95959911,0.0039273009,0.98966284,-2.8121253
-22.807215,0.97178377,0.90987441,3,7,0,25.351428,0.78014213,0.15610705,0.21985787,0.84389295,0.20668174,0.60689365,0.14998501,0.95655556,0.024850374,0.79331826,0.39310635,0.85001499,0.043444445,0.97514963,-2.9947905
-22.809208,0.98185826,0.90987441,3,7,0,23.015431,0.80240562,0.12935127,0.19759438,0.87064873,0.18497136,0.63152159,0.12285632,0.97008636,0.018561311,0.81502864,0.36847841,0.87714368,0.02991364,0.98143869,-2.9706616
-22.918962,0.98574722,0.90987441,2,3,0,22.955494,0.7967698,0.10206971,0.2032302,0.89793029,0.18456002,0.68274017,0.10256774,0.97918684,0.016429873,0.81543998,0.31725983,0.89743226,0.020813164,0.98357013,-2.904518
-23.642724,0.84796712,0.90987441,2,3,0,24.492705,0.71274533,0.071209275,0.28725467,0.92879073,0.23622035,0.78091283,0.092185939,0.98490935,0.020567669,0.76377965,0.21908717,0.90781406,0.015090651,0.97943233,-2.771982
-23.671619,0.97516633,0.90987441,2,3,0,24.365567,0.65457297,0.12873027,0.34542703,0.87126973,0.2839056,0.69106272,0.16216357,0.95426526,0.038246441,0.7160944,0.30893728,0.83783643,0.045734743,0.96175356,-2.8848876
-23.63055,0.96178816,0.90987441,2,7,0,24.399433,0.70443677,0.074945282,0.29556323,0.92505472,0.24214229,0.77477627,0.097507893,0.98328653,0.021743939,0.75785771,0.22522373,0.90249211,0.016713475,0.97825606,-2.7774925
-22.777354,1,0.90987441,2,3,0,23.52945,0.79044569,0.13972497,0.20955431,0.86027503,0.1958764,0.62328949,0.13428158,0.96485556,0.02119281,0.8041236,0.37671051,0.86571842,0.035144444,0.97880719,-2.9740133
-22.827904,0.98480984,0.90987441,3,7,0,23.015431,0.74955777,0.14088559,0.25044223,0.85911441,0.22571379,0.64327633,0.14674235,0.95984148,0.026743833,0.77428621,0.35672367,0.85325765,0.040158524,0.97325617,-2.9300328
-22.823585,0.97447285,0.90987441,1,3,0,23.078399,0.78842059,0.11381104,0.21157941,0.88618896,0.19273593,0.66594244,0.11420351,0.97462848,0.018410101,0.80726407,0.33405756,0.88579649,0.025371518,0.9815899,-2.9165847
-22.823585,0.81253791,0.90987441,2,3,0,24.487709,0.78842059,0.11381104,0.21157941,0.88618896,0.19273593,0.66594244,0.11420351,0.97462848,0.018410101,0.80726407,0.33405756,0.88579649,0.025371518,0.9815899,-2.9165847
-22.823585,0.82972118,0.90987441,2,3,0,25.245755,0.78842059,0.11381104,0.21157941,0.88618896,0.19273593,0.66594244,0.11420351,0.97462848,0.018410101,0.80726407,0.33405756,0.88579649,0.025371518,0.9815899,-2.9165847
-22.940817,0.97809449,0.90987441,3,7,0,23.154846,0.76465777,0.099008656,0.23534223,0.90099134,0.20710664,0.70509515,0.10741888,0.97822818,0.0191637,0.79289336,0.29490485,0.89258112,0.021771822,0.9808363,-2.8580315
-22.979163,0.99554326,0.90987441,2,7,0,23.13494,0.79770828,0.096077283,0.20229172,0.90392272,0.18286845,0.69403754,0.097417725,0.98113346,0.015811695,0.81713155,0.30596246,0.90258227,0.018866541,0.98418831,-2.8936445
-23.577037,0.95309897,0.90987441,2,3,0,23.721832,0.83223565,0.07136533,0.16776435,0.92863467,0.15301395,0.72935667,0.069835451,0.98920949,0.011342201,0.84698605,0.27064333,0.93016455,0.010790511,0.9886578,-2.9079318
-23.562159,0.99331869,0.90987441,2,3,0,23.999963,0.75720741,0.23688745,0.24279259,0.76311255,0.24136728,0.53825825,0.21701517,0.90769555,0.046563927,0.75863272,0.46174175,0.78298483,0.092304449,0.95343607,-3.1460553
-23.58986,0.91147126,0.90987441,3,7,0,25.149365,0.82529917,0.068424245,0.17470083,0.93157576,0.15791786,0.74149713,0.068808075,0.98965879,0.011685059,0.84208214,0.25850287,0.93119192,0.010341212,0.98831494,-2.8870373
-24.023219,0.95765557,0.90987441,1,1,0,24.034638,0.83724505,0.057250896,0.16275495,0.9427491,0.14722239,0.76551798,0.057478017,0.99231538,0.010311501,0.85277761,0.23448202,0.94252198,0.0076846235,0.9896885,-2.8909473
-24.19503,0.97915979,0.90987441,2,7,0,25.318967,0.62111566,0.15507636,0.37888434,0.84492364,0.3095946,0.66222716,0.1972554,0.93149675,0.053353678,0.6904054,0.33777284,0.8027446,0.068503248,0.94664632,-2.949327
-28.4971,0.47361212,0.90987441,2,5,0,30.764894,0.86012398,0.011550134,0.13987602,0.98844987,0.12396775,0.93485611,0.016953226,0.99906339,0.007523184,0.87603225,0.065143889,0.98304677,0.00093661328,0.99247682,-2.8615259
-25.646132,0.80597987,0.90987441,2,3,0,29.660276,0.86093472,0.32473584,0.13906528,0.67526416,0.17077275,0.40411483,0.22592184,0.88654633,0.035628848,0.82922725,0.59588517,0.77407816,0.11345367,0.96437115,-3.5953428
-22.964783,1,0.90987441,2,3,0,25.382662,0.79695712,0.097258794,0.20304288,0.90274121,0.18361892,0.69208863,0.098566255,0.98072483,0.015981966,0.81638108,0.30791137,0.90143375,0.019275166,0.98401803,-2.8949131
-24.171579,0.77646904,0.90987441,1,3,0,26.443469,0.89736257,0.13693164,0.10263743,0.86306836,0.1062823,0.52769075,0.097171027,0.97626024,0.009056385,0.8937177,0.47230925,0.90282897,0.023739758,0.99094361,-3.2575
-25.197164,0.89006411,0.90987441,3,7,0,26.287035,0.64823379,0.046439858,0.35176621,0.95356014,0.26948526,0.85233052,0.076277006,0.99044772,0.022446408,0.73051474,0.14766948,0.92372299,0.0095522838,0.97755359,-2.7352287
